code,text
160968000,Risk activity involvement (finding)
224299000,Received higher education (finding)
160903007,Full-time employment (finding)
706893006,Victim of intimate partner abuse (finding)
73595000,Stress (finding)
162864005,Body mass index 30+ - obesity (finding)
422650009,Social isolation (finding)
44054006,Diabetes
160904001,Part-time employment (finding)
278860009,Chronic low back pain (finding)
195662009,Acute viral pharyngitis (disorder)
302870006,Hypertriglyceridemia (disorder)
237602007,Metabolic syndrome X (disorder)
741062008,Not in labor force (finding)
80394007,Hyperglycemia (disorder)
15777000,Prediabetes
271737000,Anemia (disorder)
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
284549007,Laceration of hand
266948004,Has a criminal record (finding)
254837009,Malignant neoplasm of breast (disorder)
73438004,Unemployed (finding)
444814009,Viral sinusitis (disorder)
424393004,Reports of violence in the environment (finding)
72892002,Normal pregnancy
105531004,Housing unsatisfactory (finding)
65363002,Otitis media
59621000,Hypertension
40055000,Chronic sinusitis (disorder)
10509002,Acute bronchitis (disorder)
1121000119107,Chronic neck pain (finding)
91302008,Sepsis (disorder)
44465007,Sprain of ankle
283371005,Laceration of forearm
5251000175109,Received certificate of high school equivalency (finding)
423315002,Limited social contact (finding)
10939881000119104,Unhealthy alcohol drinking behavior (finding)
80583007,Severe anxiety (panic) (finding
361055000,Misuses drugs (finding)
198992004,Antepartum eclampsia
19169002,Miscarriage in first trimester
35999006,Blighted ovum
403190006,First degree burn
283385000,Laceration of thigh
53741008,Coronary Heart Disease
398254007,Preeclampsia
55822004,Hyperlipidemia
301011002,Escherichia coli urinary tract infection
128613002,Seizure disorder
703151001,History of single seizure (situation)
84757009,Epilepsy
36971009,Sinusitis (disorder)
233678006,Childhood asthma
43878008,Streptococcal sore throat (disorder)
62106007,Concussion with no loss of consciousness
22298006,Myocardial Infarction
399211009,History of myocardial infarction (situation)
68496003,Polyp of colon
713197008,Recurrent rectal polyp
363406005,Malignant tumor of colon
370247008,Facial laceration
359817006,Closed fracture of hip
79586000,Tubal pregnancy
15724005,Fracture of vertebral column without spinal cord injury
82423001,Chronic pain
124171000119105,Chronic intractable migraine without aura
75498004,Acute bacterial sinusitis (disorder)
39848009,Whiplash injury to neck
25064002,Headache (finding)
49727002,Cough (finding)
267060006,Diarrhea symptom (finding)
68962001,Muscle pain (finding)
57676002,Joint pain (finding)
386661006,Fever (finding)
36955009,Loss of taste (finding)
840544004,Suspected COVID-19
840539006,COVID-19
410429000,Cardiac Arrest
429007001,History of cardiac arrest (situation)
431855005,Chronic kidney disease stage 1 (disorder)
127013003,Diabetic renal disease (disorder)
16114001,Fracture of ankle
224295006,Only received primary school education (finding)
24079001,Atopic dermatitis
446096008,Perennial allergic rhinitis
263102004,Fracture subluxation of wrist
192127007,Child attention deficit disorder
84229001,Fatigue (finding)
233604007,Pneumonia (disorder)
389087006,Hypoxemia (disorder)
271825005,Respiratory distress (finding)
65710008,Acute respiratory failure (disorder)
33737001,Fracture of rib
444448004,Injury of medial collateral ligament of knee
74400008,Appendicitis
428251008,History of appendectomy
30832001,Rupture of patellar tendon
47693006,Rupture of appendix
230690007,Stroke
38822007,Cystitis
248595008,Sputum finding (finding)
43724002,Chill (finding)
88805009,Chronic congestive heart failure (disorder)
156073000,Fetus with unknown complication
58150001,Fracture of clavicle
185086009,Chronic obstructive bronchitis (disorder)
239720000,Tear of meniscus of knee
239873007,Osteoarthritis of knee
241929008,Acute allergic reaction
403191005,Second degree burn
408512008,Body mass index 40+ - severely obese (finding)
90560007,Gout
196416002,Impacted molars
55680006,Drug overdose
110030002,Concussion injury of brain
275272006,Brain damage - traumatic
446654005,Refugee (person)
284551006,Laceration of foot
713458007,Lack of access to transportation (finding)
266934004,Transport problems (finding)
49436004,Atrial Fibrillation
64859006,Osteoporosis (disorder)
224355006,Served in armed forces (finding)
127295002,Traumatic brain injury (disorder)
7200002,Alcoholism
126906006,Neoplasm of prostate
314994000,Metastasis from malignant tumor of prostate (disorder)
232353008,Perennial allergic rhinitis with seasonal variation
62564004,Concussion with loss of consciousness
197927001,Recurrent urinary tract infection
6072007,Bleeding from anus
236077008,Protracted diarrhea
65966004,Fracture of forearm
307731004,Injury of tendon of the rotator cuff of shoulder
262574004,Bullet wound
40275004,Contact dermatitis
109838007,Overlapping malignant neoplasm of colon
5602001,Opioid abuse (disorder)
239872002,Osteoarthritis of hip
